Name,Price,Reviews,Size,Category,Rating,bath-personal-care,beauty,grocery,healthy-home,pets,sports-nutrition,supplements
"California Gold Nutrition, Gold C, Vitamin C, 1,000 mg, 60 Veggie Capsules",5.46,122093.0,0.0,supplements,4.8,0,0,0,0,0,0,1
"California Gold Nutrition, CollagenUP, Marine Hydrolyzed Collagen + Hyaluronic Acid + Vitamin C, Unflavored, 7.26 oz (206 g)",26.53,88798.0,206.0,supplements,4.7,0,0,0,0,0,0,1
"21st Century, Zinc Citrate, 50 mg, 60 Tablets",3.12,4414.0,0.05,supplements,4.8,0,0,0,0,0,0,1
"California Gold Nutrition, CollagenUP, Marine Hydrolyzed Collagen + Hyaluronic Acid + Vitamin C, Unflavored, 16.37 oz (464 g)",54.62,88798.0,464.0,supplements,4.7,0,0,0,0,0,0,1
"Sports Research, Omega-3 Fish Oil, Triple Strength, 1,250 mg, 90 Softgels",35.04,23531.0,0.25,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Sunflower Lecithin, 1,200 mg, 200 Softgels",18.52,25791.0,0.2,supplements,4.9,0,0,0,0,0,0,1
"Now Foods, Zinc, 50 mg, 250 Tablets",12.95,8680.0,0.05,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Zinc Picolinate, 50 mg, 120 Veg Capsules",13.89,8651.0,0.05,supplements,4.8,0,0,0,0,0,0,1
"California Gold Nutrition, Gold C, Vitamin C, 500 mg, 240 Veggie Capsules",14.05,8815.0,0.5,supplements,4.8,0,0,0,0,0,0,1
"Natural Factors, Zinc Chelate, 25 mg, 90 Tablets",5.84,10464.0,0.025,supplements,4.8,0,0,0,0,0,0,1
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 8 oz (227 g)",17.54,37409.0,227.0,supplements,4.9,0,0,0,0,0,0,1
"Solgar, Omega-3, EPA & DHA, Triple Strength, 950 mg, 100 Softgels",50.01,22527.0,0.95,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Iron, Double Strength, 36 mg, 90 Veg Capsules",13.89,12158.0,0.036,supplements,4.8,0,0,0,0,0,0,1
"Solaray, Monolaurin, 500 mg, 60 VegCaps",14.86,12407.0,0.5,supplements,4.9,0,0,0,0,0,0,1
"KAL, Magnesium Glycinate 400, 400 mg, 180 Tablets",37.44,18972.0,0.4,supplements,4.8,0,0,0,0,0,0,1
"21st Century, Vitamin C, 1,000 mg, 60 Tablets",4.68,9337.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"YumEarth, Organic Pops, Vitamin C, Strawberry Smash, Razzmatazz Berry, Very Very Cherry, 14 Pops, 3 oz (85 g)",4.3,15000.0,85.0,supplements,4.9,0,0,0,0,0,0,1
